Output File                                                               Name                                             Type        FSH File                         Lines
Bundle-HiMiBundle.json                                                    HiMiBundle_e15H                                  Instance    examples.fsh                     2 - 21
Bundle-ODIL-Bundle-UmfassendesBeispiel.json                               ODIL_Bundle_UmfassendesBeispiel                  Instance    examples.fsh                     252 - 285
Bundle-ODIL-Bundle.json                                                   ODIL_Bundle                                      Instance    examples.fsh                     42 - 61
CarePlan-BeispielCarePlan.json                                            BeispielCarePlan                                 Instance    examples.fsh                     398 - 438
CareTeam-beispielPflegeteam.json                                          CareTeam_Example                                 Instance    examples.fsh                     222 - 231
CodeSystem-code-system-himi-heimi-formular-art.json                       CS_HIMI_HEIMI_FORMULAR_ART                       CodeSystem  ODIL_VS_Formular_Art.fsh         2 - 11
CodeSystem-icd-10-gm.json                                                 ICD10GM                                          CodeSystem  ODIL_VS_ICD10GM.fsh              1 - 5
Composition-416b7bc3-7483-46ba-bc67-306bf671c569.json                     CompositionHiMi                                  Instance    examples.fsh                     23 - 39
Composition-Odil-Composition-UmfassendesBeispiel.json                     Odil-Composition-UmfassendesBeispiel             Instance    examples.fsh                     234 - 250
Composition-Odil-Composition.json                                         Odil-Composition-Himi                            Instance    examples.fsh                     63 - 79
Coverage-416b7bc3-7483-46ba-bc67-306bf671c569.json                        Coverage_Example                                 Instance    examples.fsh                     201 - 219
DeviceRequest-416b7bc3-7483-46ba-bc67-306bf671c569.json                   PrescriptionDevice                               Instance    examples.fsh                     84 - 148
Organization-416b7bc3-7483-46ba-bc67-306bf671c569.json                    Organization_Example                             Instance    examples.fsh                     186 - 199
Patient-416b7bc3-7483-46ba-bc67-306bf671c569.json                         Patient_Example                                  Instance    examples.fsh                     151 - 171
Practitioner-416b7bc3-7483-46ba-bc67-306bf671c569.json                    Practitioner_Example                             Instance    examples.fsh                     173 - 184
ServiceRequest-BeispielBlutzuckermessungServiceRequest.json               BeispielBlutzuckermessungServiceRequest          Instance    examples.fsh                     309 - 323
ServiceRequest-BeispielGrundpflegeHauswirtschaftServiceRequest.json       BeispielGrundpflegeHauswirtschaftServiceRequest  Instance    examples.fsh                     379 - 396
ServiceRequest-BeispielKompressionsbehandlungServiceRequest.json          BeispielKompressionsbehandlungServiceRequest     Instance    examples.fsh                     325 - 340
ServiceRequest-BeispielMedikamentengabeServiceRequest.json                BeispielMedikamentengabeServiceRequest           Instance    examples.fsh                     289 - 307
ServiceRequest-BeispielSonstigeMassnahmenServiceRequest.json              BeispielSonstigeMassnahmenServiceRequest         Instance    examples.fsh                     362 - 377
ServiceRequest-BeispielWundversorgungServiceRequest.json                  BeispielWundversorgungServiceRequest             Instance    examples.fsh                     342 - 360
StructureDefinition-Folgeversorgung.json                                  Folgeversorgung                                  Extension   ODIL_EX_Folgeversorgung.fsh      1 - 7
StructureDefinition-KBV-EX-ERP-BVG-ODIL.json                              KBV_EX_ERP_BVG_ODIL                              Extension   ODIL_EX_KBV_EX_ERP_BVG.fsh       1 - 8
StructureDefinition-ODIL-Bundle.json                                      ODIL_Bundle                                      Profile     ODIL_PR_Bundle.fsh               1 - 64
StructureDefinition-Odil-CompositionHiMi.json                             ODIL_Composition                                 Profile     ODIL_PR_Composition.fsh          6 - 277
StructureDefinition-PrescriptionDevice.json                               PrescriptionDevice                               Profile     ODIL_PR_Prescription_Device.fsh  3 - 65
StructureDefinition-Unfallinformation.json                                Unfallinformation                                Extension   ODIL_EX_Accident.fsh             1 - 14
StructureDefinition-anleitung-details.json                                AnleitungDetails                                 Extension   ODIL_PR_ServiceRequests.fsh      160 - 168
StructureDefinition-blutzuckermessung-details.json                        BlutzuckermessungDetails                         Extension   ODIL_PR_CarePlan.fsh             93 - 98
StructureDefinition-dauer-abweichung.json                                 DauerAbweichung                                  Extension   ODIL_PR_ServiceRequests.fsh      26 - 30
StructureDefinition-einschraenkungen.json                                 Einschraenkungen                                 Extension   ODIL_PR_CarePlan.fsh             7 - 11
StructureDefinition-erst-oder-neueinstellung.json                         ErstOderNeueinstellung                           Extension   ODIL_PR_ServiceRequests.fsh      70 - 74
StructureDefinition-erstverordnung.json                                   Erstverordnung                                   Extension   ODIL_PR_CarePlan.fsh             13 - 17
StructureDefinition-folgeverordnung.json                                  Folgeverordnung                                  Extension   ODIL_PR_CarePlan.fsh             19 - 23
StructureDefinition-grundpflege-details.json                              GrundpflegeDetails                               Extension   ODIL_PR_ServiceRequests.fsh      194 - 198
StructureDefinition-hauswirtschaftliche-versorgung-details.json           HauswirtschaftlicheVersorgungDetails             Extension   ODIL_PR_ServiceRequests.fsh      200 - 204
StructureDefinition-intensiviert-insulin.json                             IntensiviertInsulin                              Extension   ODIL_PR_ServiceRequests.fsh      76 - 80
StructureDefinition-kompressionsart-details.json                          KompressionsartDetails                           Extension   ODIL_PR_ServiceRequests.fsh      92 - 104
StructureDefinition-kompressionsbehandlung-details.json                   KompressionsbehandlungDetails                    Extension   ODIL_PR_CarePlan.fsh             100 - 105
StructureDefinition-krankenhausvermeidungspflege.json                     Krankenhausvermeidungspflege                     Extension   ODIL_PR_ServiceRequests.fsh      188 - 192
StructureDefinition-medikamentenbox-herrichtung.json                      MedikamentenboxHerrichtung                       Extension   ODIL_PR_ServiceRequests.fsh      54 - 58
StructureDefinition-medikamentengabe-details.json                         MedikamentengabeDetails                          Extension   ODIL_PR_CarePlan.fsh             82 - 91
StructureDefinition-medikation-details.json                               MedikationDetails                                Extension   ODIL_PR_ServiceRequests.fsh      42 - 52
StructureDefinition-odil-base-service-request.json                        ODIL_BaseServiceRequest                          Profile     ODIL_PR_ServiceRequests.fsh      5 - 24
StructureDefinition-odil-blutzuckermessung-service-request.json           ODIL_BlutzuckermessungServiceRequest             Profile     ODIL_PR_ServiceRequests.fsh      60 - 68
StructureDefinition-odil-careplan.json                                    ODIL_CarePlan                                    Profile     ODIL_PR_CarePlan.fsh             38 - 66
StructureDefinition-odil-grundpflege-hauswirtschaft-service-request.json  ODIL_GrundpflegeHauswirtschaftServiceRequest     Profile     ODIL_PR_ServiceRequests.fsh      170 - 180
StructureDefinition-odil-kompressionsbehandlung-service-request.json      ODIL_KompressionsbehandlungServiceRequest        Profile     ODIL_PR_ServiceRequests.fsh      82 - 90
StructureDefinition-odil-medikamentengabe-service-request.json            ODIL_MedikamentengabeServiceRequest              Profile     ODIL_PR_ServiceRequests.fsh      32 - 40
StructureDefinition-odil-sonstige-massnahmen-service-request.json         ODIL_SonstigeMassnahmenServiceRequest            Profile     ODIL_PR_ServiceRequests.fsh      151 - 158
StructureDefinition-odil-wundversorgung-service-request.json              ODIL_WundversorgungServiceRequest                Profile     ODIL_PR_ServiceRequests.fsh      118 - 126
StructureDefinition-ser.json                                              SER                                              Extension   ODIL_PR_CarePlan.fsh             31 - 35
StructureDefinition-sonstige-massnahmen-details.json                      SonstigeMassnahmenDetails                        Extension   ODIL_PR_CarePlan.fsh             116 - 121
StructureDefinition-unfall.json                                           Unfall                                           Extension   ODIL_PR_CarePlan.fsh             25 - 29
StructureDefinition-unterstuetzungspflege.json                            Unterstuetzungspflege                            Extension   ODIL_PR_ServiceRequests.fsh      182 - 186
StructureDefinition-wundart-details.json                                  WundartDetails                                   Extension   ODIL_PR_ServiceRequests.fsh      128 - 143
StructureDefinition-wundversorgung-details.json                           WundversorgungDetails                            Extension   ODIL_PR_CarePlan.fsh             107 - 114
ValueSet-VS-HIMI-HEIMI-KBV-FORMULAR-ART.json                              VS_HIMI_HEIMI_KBV_FORMULAR_ART                   ValueSet    ODIL_VS_Formular_Art.fsh         15 - 20
ValueSet-grundpflege-hauswirtschaft-vs.json                               GrundpflegeHauswirtschaftVS                      ValueSet    ODIL_PR_ServiceRequests.fsh      206 - 210
ValueSet-hkp-massnahmen.json                                              HKPMassnahmen                                    ValueSet    ODIL_PR_CarePlan.fsh             69 - 79
